state,town,listings,median_price,median_log_price,median_bedrooms
Lagos,Lekki,3392,95000000,18.36938746009113,4
Lagos,Ajah,1192,48500000,17.697021233094283,4
Lagos,Ikoyi,866,550000000,20.125428838008972,5
Lagos,Ikeja,519,135000000,18.72078534381011,5
Rivers,Port Harcourt,410,60000000,17.909855136853043,4
Lagos,Ibeju Lekki,396,29000000,17.182806422433504,3
Oyo,Ibadan,370,30000000,17.216707972959764,4
Abuja,Gwarinpa,345,90000000,18.31532023940565,4
Lagos,Victoria Island (Vi),323,175000000,18.980296537602072,4
Lagos,Magodo,247,130000000,18.683045016112164,5
Abuja,Maitama District,230,700000000,20.36659089443625,5
Abuja,Guzape District,229,125000000,18.643824303266577,5
Lagos,Ikorodu,229,18000000,16.705882371415992,3
Abuja,Katampe,225,160000000,18.8906843794481,4
Abuja,Life Camp,211,60000000,17.909855136853043,4
Imo,Owerri Municipal,194,55000000,17.822843761378564,4
Abuja,Lokogoma District,189,38000000,17.453096744006448,4
Abuja,Lugbe District,160,35000000,17.370858648025116,3
Lagos,Isheri North,150,85000000,18.258161826219297,5
Abuja,Apo,143,70000000,18.064005814299346,4
Abuja,Wuye,141,80000000,18.197537205138154,4
Abuja,Asokoro District,137,500000000,20.030118658386467,5
Ogun,Mowe Ofada,137,10500000,16.166885910365842,3
Enugu,Enugu,121,55000000,17.822843761378564,4
Lagos,Surulere,118,70000000,18.064005814299346,4
Lagos,Agege,117,28000000,17.147715103853763,4
Lagos,Alimosho,110,35000000,17.370858648025116,4
Abuja,Galadimawa,100,50000000,17.72753358339242,4
Abuja,Jahi,98,70000000,18.064005814299346,4
Lagos,Isolo,95,65000000,17.989897843244528,4
Edo,Oredo,90,35000000,17.370858648025116,4
Abuja,Jabi,86,140000000,18.757152987716434,4
Lagos,Ipaja,82,23000000,16.951004817371683,3
Lagos,Yaba,78,66500000,18.012458060545395,4
Lagos,Ikotun,74,25000000,17.034386422832473,3
Lagos,Ojodu,73,45000000,17.622173069956816,4
Abuja,Kubwa,73,33900000,17.338925601849205,3
Lagos,Ifako-Ijaiye,72,18250000,16.7195818577593,3
Ogun,Arepo,68,40000000,17.50439003707821,4
Ogun,Ifo,64,19000000,16.75856262646713,4
Lagos,Maryland,63,87000000,18.28141868811311,4
Abuja,Mabushi,61,135000000,18.72078534381011,4
Abuja,Wuse 2,59,200000000,19.11382792951231,4
Lagos,Gbagada,54,65000000,17.989897843244528,4
Abuja,Kaura,52,90000000,18.31532023940565,4
Abuja,Karsana,52,48000000,17.68584277979246,4
Anambara,Lekki,51,70000000,18.064005814299346,4
Delta,Asaba,50,55000000,17.822843761378564,4
Ogun,Mowe Town,50,15000000,16.52356082573315,3
Abuja,Gaduwa,47,57000000,17.858561843342684,5
Abuja,Wuse,46,200000000,19.11382792951231,4
Abuja,Utako,43,160000000,18.8906843794481,4
Ogun,Sango Ota,42,14000000,16.452010409041016,3
Abuja,Durumi,40,130000000,18.683045016112164,4
Lagos,Ogudu,39,120000000,18.603002309079653,4
Lagos,Amuwo Odofin,39,90000000,18.31532023940565,5
Abuja,Mbora (Nbora),38,43500000,17.587676635006993,4
Ogun,Magboro,38,20000000,16.811242881518265,4
Abuja,Karmo,35,45000000,17.622173069956816,4
Lagos,Ojo,35,28000000,17.147715103853763,3
Ogun,Ado-Odo/Ota,34,15000000,16.52356082573315,3
Abuja,Kado,33,150000000,18.826145858727198,4
Ogun,Abeokuta South,31,30000000,17.216707972959764,4
Lagos,Ilupeju,30,100000000,18.420680753952364,4
Oyo,Oluyole,27,31000000,17.249497794707484,4
Abuja,Garki,25,190000000,19.06253463538792,4
Abuja,Gudu,23,65000000,17.989897843244528,4
Ogun,Isheri North,23,50000000,17.72753358339242,4
Lagos,Epe,23,12000000,16.300417291085605,2
Anambara,Ajah,22,38000000,17.451709780638186,3
Akwa Ibom,Uyo,22,35000000,17.370858648025116,4
Lagos,Ayobo,22,16000000,16.588099342704055,3
Ogun,Ibafo,21,16000000,16.588099342704055,3
Abuja,Idu Industrial,20,50500000,17.733497868785534,4
Abuja,Kuje,20,12000000,16.300417291085605,3
Imo,Owerri West,19,48000000,17.6867115897055,4
Abuja,Karu,19,25000000,17.034386422832473,4
Lagos,Isheri,16,140000000,18.757152987716434,6
Lagos,Ketu,16,47500000,17.67485332667462,3.5
Abuja,Kurudu,16,21500000,16.870134397124232,3
Ogun,Obafemi Owode,16,14750000,16.50661005104473,3
Imo,Owerri North,15,55000000,17.822843761378564,4
Oyo,Ibadan South-West,15,45000000,17.622173069956816,5
Ogun,Simawa,15,23000000,16.951004817371683,3
Abuja,Kafe,14,55000000,17.822843761378564,4
Abuja,Dakwo,14,50000000,17.72753358339242,4
Lagos,Shomolu,14,45000000,17.622173069956816,4
Kaduna,Kaduna North,13,23000000,16.951004817371683,3
Lagos,Ejigbo,12,37500000,17.437624342551665,3.5
Lagos,Apapa,11,270000000,19.413932520666354,5
Lagos,Oshodi,11,70000000,18.064005814299346,3
Osun,Osogbo,11,17000000,16.648723960844016,3
Anambara,Ibeju Lekki,11,15000000,16.52356082573315,3
Ogun,Km 46,10,19000000,16.75856262646713,3
Ekiti,Ado-Ekiti,9,37000000,17.426428497635523,3
Lagos,Idimu,9,27000000,17.11134746100564,3
Abuja,Karshi,9,20000000,16.811242881518265,3
Lagos,Badagry,9,18000000,16.705882371415992,5
Abuja,Kukwaba,8,125000000,18.64302366259591,5
Abia,Aba,8,60000000,17.850963621108182,4
Abuja,Dape,8,45000000,17.622173069956816,4
Abuja,Bwari,8,25000000,17.034386422832473,3
Abuja,Orozo,8,16000000,16.586142393288583,4
Abuja,Kabusa,7,35000000,17.370858648025116,3
Abuja,Dakibiyu,7,27500000,17.129696599000436,3
Abuja,Gwagwalada,7,10500000,16.166885910365842,3
Anambara,Ikoyi,6,350000000,19.673443715304877,4
Rivers,Obio-Akpor,6,57500000,17.858715713318475,3.5
Kaduna,Kaduna South,6,20500000,16.82844359439384,4.5
Anambara,Mowe Ofada,6,8000000,15.894952224644102,2
Lagos,Lagos Island,5,200000000,19.11382792951231,4
Abuja,Diplomatic Zones,5,68000000,18.035018277846262,4
Oyo,Ibadan North,5,40000000,17.50439003707821,4
Lagos,Agbara-Igbesa,5,35000000,17.370858648025116,5
Lagos,Ijaiye,5,25000000,17.034386422832473,6
Ogun,Abeokuta North,5,25000000,17.034386422832473,2
Oyo,Akinyele,5,25000000,17.034386422832473,4
Anambara,Ikorodu,5,22000000,16.906553056777135,5
Ogun,Ijoko,5,14000000,16.454567959008102,3
Nasarawa,Karu,5,12000000,16.300417291085605,3
Ogun,Ogijo,5,12000000,16.300417291085605,4
Abuja,Duboyi,4,57500000,17.818694360956066,4
Rivers,Eleme,4,45000000,17.622173069956816,5.5
Lagos,Kosofe,4,42500000,17.549196115708767,3.5
Kaduna,Chikun,4,28500000,17.038370512895156,4.5
Anambara,Lokogoma District,4,27500000,17.12554719789612,3
Kwara,Ilorin South,4,22500000,16.870134399346455,4
Edo,Egor,4,21500000,16.849723401854845,3.5
Ogun,Sagamu,4,20500000,16.835637962412505,3
Abuja,Dutse,4,13000000,16.377492625046855,1.5
Ogun,Oke-Aro,4,10000000,16.097684757864855,4.5
Anambara,Victoria Island (Vi),3,250000000,19.33697147982652,5
Abuja,Mpape,3,100000000,18.420680753952364,3
Abuja,Central Business District,3,85000000,18.258161826219297,4
Anambara,Alimosho,3,69999999,18.064005800013632,4
Nasarawa,Keffi,3,45000000,17.622173069956816,3
Oyo,Ido,3,32000000,17.281246492014,4
Lagos,Mushin,3,30000000,17.216707972959764,1
Anambara,Port Harcourt,3,25000000,17.034386422832473,4
Oyo,Ibadan North-East,3,20000000,16.811242881518265,3
Kwara,Ilorin West,3,19000000,16.759949589762293,4
Abuja,Nyanya,3,15000000,16.52356082573315,3
Lagos,Ijede,3,15000000,16.52356082573315,4
Ogun,Ijebu Ode,3,15000000,16.52356082573315,4
Anambara,Ifako-Ijaiye,3,9500000,16.066802461833923,2
Anambara,Ikeja,2,242500000,19.277579712200904,3.5
Edo,Ovia North-East,2,144500000,18.086941055214325,6
Oyo,Ibadan North-West,2,137500000,18.333504066749022,4.5
Bayelsa,Yenagoa,2,90000000,17.850963630483182,5.5
Delta,Warri,2,82500000,18.02695183206864,4.5
Ogun,Ewekoro,2,67500000,17.89576970098874,2.5
Akwa Ibom,Ikot Ekpene,2,46000000,17.170162784190982,3
Abuja,Wumba,2,42500000,17.549196115708767,3
Anambara,Ketu,2,37500000,17.38096000311245,2.5
Anambara,Mbora (Nbora),2,28400000,17.14918615243674,2.5
Kwara,Ilorin East,2,27500000,17.09105076477169,3.5
Cross River,Calabar,2,25000000,17.034386422832473,5.5
Oyo,Afijio,2,24150000,16.31580319971189,4
Anambara,Akure,2,24000000,16.875659320187,3.5
Delta,Udu,2,21250000,16.3863424604846,2.5
Abuja,Kagini,2,20500000,16.811242882768262,3
Delta,Uvwie,2,19000000,16.555830098801934,3
Abuja,Kyami,2,18100000,16.710872815668672,3
Abuja,Dei-Dei,2,17000000,16.646990857060025,3
Kogi,Lokoja,2,14500000,16.41198906396493,4.5
Lagos,Imota,2,6250000,15.607270200803423,3
Lagos,Eko Atlantic City,2,755000,13.815511557963774,2
Anambara,Yaba,1,300000000,19.519293035953808,1
Anambara,Jabi,1,180000000,19.00846741441004,5
Anambara,Gwarinpa,1,150000000,18.826145858727198,3
Lagos,Ijesha,1,120000000,18.603002309079653,3
Borno,Guzamala,1,105000000,18.46947091764561,4
Anambara,Shomolu,1,100000000,18.420680753952364,3
Anambara,Gbagada,1,90000000,18.31532023940565,4
Anambara,Katampe,1,85000000,18.258161826219297,3
Anambara,Guzape District,1,75000000,18.132998684833918,4
Lagos,Ojota,1,75000000,18.132998684833918,3
Abia,Umuahia,1,65000000,17.989897843244528,3
Anambara,Arepo,1,45000000,17.622173069956816,3
Delta,Ughelli South,1,45000000,17.622173069956816,6
Edo,Uhunmwonde,1,40000000,17.50439003707821,3
Kogi,Dekina,1,40000000,17.50439003707821,3
Kogi,Okene,1,40000000,17.50439003707821,3
Niger,Paikoro,1,40000000,17.50439003707821,2
Anambara,Agege,1,35000000,17.370858648025116,4
Anambara,Ojo,1,35000000,17.370858648025116,4
Delta,Abraka,1,35000000,17.370858648025116,4
Lagos,Egbe,1,35000000,17.370858648025116,3
Anambara,Magboro,1,30000000,17.216707972959764,3
Kano,Kano,1,30000000,17.216707972959764,4
Kano,Nassarawa,1,30000000,17.216707972959764,3
Plateau,Jos North,1,27000000,17.11134746100564,7
Akwa Ibom,Eket,1,25000000,17.034386422832473,4
Delta,Ethiope West,1,25000000,17.034386422832473,5
Imo,Ohaji/Egbema,1,25000000,17.034386422832473,4
Rivers,Oyigbo,1,25000000,17.034386422832473,4
Lagos,Oke-Odo,1,20000000,16.811242881518265,5
Lagos,Orile,1,20000000,16.811242881518265,4
Rivers,Ikwerre,1,20000000,16.811242881518265,4
Abuja,Mararaba,1,18000000,16.705882371415992,4
Delta,Ughelli North,1,18000000,16.705882371415992,1
Edo,Ikpoba Okha,1,18000000,16.705882371415992,6
Oyo,Oyo West,1,16000000,16.588099342704055,6
Delta,Aniocha South,1,15000000,16.52356082573315,7
Katsina,Danja,1,15000000,16.52356082573315,4
Lagos,Ibeju,1,15000000,16.52356082573315,3
Nasarawa,Nasarawa,1,15000000,16.52356082573315,3
Anambara,Ibadan,1,13500000,16.41820031748273,3
Ogun,Agbara,1,13000000,16.380459992348886,3
Anambara,Mowe Town,1,10000000,16.118095750958314,2
Oyo,Ibarapa North,1,10000000,16.118095750958314,3
Anambara,Karu,1,9500000,16.066802461833923,2
Delta,Okpe,1,8000000,15.894952224644102,2
Anambara,Owerri Municipal,1,7850000,15.876024217147117,2
Anambara,Ikotun,1,6500000,15.687312888712007,3
Katsina,Kusada,1,6000000,15.607270193858982,8
Osun,Ede South,1,6000000,15.607270193858982,2
Abuja,Jikwoyi,1,3500000,15.068273812173887,2
Oyo,Egbeda,1,3000000,14.914123179965662,2
Ogun,Yewa South,1,1500000,14.220976332738882,3
Plateau,Jos South,1,500000,13.815511557963774,2
